Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID
CHEMBL244624,,0,370.45,0,4.67,19,CN(Cc1ccccc1)Cc2ccc(cc2)C3=Cc4cc(N)ccc4OC3=O,IC50,'>',0.00001,nM,,Outside typical range,,UO_0000065,,,,,FALSE,CHEMBL894086,Inhibition of human recombinant BChE,B,BAO_0000357,single protein format,Homo sapiens,,,,,CHEMBL1914,Butyrylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1148720,1,Scientific Literature,J. Med. Chem.,2007,
CHEMBL221794,,0,212.25,0,2.74,3b,COc1ccc2c(c1)c3ccncc3n2C,IC50,'>',10000,nM,,,,UO_0000065,,,,,FALSE,CHEMBL911303,Inhibition of BChE,B,BAO_0000357,single protein format,Homo sapiens,,,,,CHEMBL1914,Butyrylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1139709,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2006,
CHEMBL376011,,0,184.2,0,2.42,3e,Oc1ccc2[nH]c3cnccc3c2c1,IC50,'>',10000,nM,,,,UO_0000065,,,,,FALSE,CHEMBL911303,Inhibition of BChE,B,BAO_0000357,single protein format,Homo sapiens,,,,,CHEMBL1914,Butyrylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1139709,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2006,
CHEMBL242721,,0,282.19,0,3.31,24,Fc1ccc(F)c(c1)C(=O)C(=O)c2cc(F)ccc2F,Ki,'>',100000,nM,,,,UO_0000065,,,,,FALSE,CHEMBL893788,Inhibition of human BChE,B,BAO_0000357,single protein format,Homo sapiens,,,,,CHEMBL1914,Butyrylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1147944,1,Scientific Literature,Bioorg. Med. Chem.,2007,
CHEMBL192410,,0,246.21,0,3.03,19,Fc1ccc(cc1)C(=O)C(=O)c2ccc(F)cc2,Ki,'>',100000,nM,,,,UO_0000065,,,,,FALSE,CHEMBL893788,Inhibition of human BChE,B,BAO_0000357,single protein format,Homo sapiens,,,,,CHEMBL1914,Butyrylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1147944,1,Scientific Literature,Bioorg. Med. Chem.,2007,
CHEMBL244426,,0,284.21,0,3.16,7,OC(C(=O)c1c(F)cccc1F)c2c(F)cccc2F,Ki,'>',100000,nM,,,,UO_0000065,,,,,FALSE,CHEMBL893788,Inhibition of human BChE,B,BAO_0000357,single protein format,Homo sapiens,,,,,CHEMBL1914,Butyrylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1147944,1,Scientific Literature,Bioorg. Med. Chem.,2007,
CHEMBL242296,,0,482.22,1,6.83,32,FC(F)(F)c1ccc(C(=O)C(=O)c2ccc(cc2C(F)(F)F)C(F)(F)F)c(c1)C(F)(F)F,Ki,'>',100000,nM,,,,UO_0000065,,,,,FALSE,CHEMBL893788,Inhibition of human BChE,B,BAO_0000357,single protein format,Homo sapiens,,,,,CHEMBL1914,Butyrylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1147944,1,Scientific Literature,Bioorg. Med. Chem.,2007,
CHEMBL95,TACRINE,4,198.27,0,2.7,tacrine,Nc1c2CCCCc2nc3ccccc13,IC50,'=',21,nM,7.68,,,UO_0000065,38.72,0.7,4.98,19.73,FALSE,CHEMBL654404,Inhibition of butyrylcholinesterase from human serum,B,BAO_0000357,single protein format,Homo sapiens,,,,,CHEMBL1914,Butyrylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1134774,1,Scientific Literature,J. Med. Chem.,2001,
CHEMBL137059,,0,665.06,2,8.7,14,CC[N+](C)(CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCC[N+](C)(CC)Cc1ccccc1)Cc2ccccc2,IC50,'=',2511.89,nM,5.6,,,UO_0000065,8.42,0.16,-3.1,13.79,FALSE,CHEMBL655895,Inhibitory concentration against butyrylcholinesterase from human serum,B,BAO_0000357,single protein format,,,,,,CHEMBL1914,Butyrylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1136713,1,Scientific Literature,J. Med. Chem.,2003,
CHEMBL143055,,0,751.15,2,9.98,13,CCN(CCCCCC(=O)N(CCCCCCCCN(C(C)C)C(=O)CCCCCN(CC)Cc1ccccc1OC)C(C)C)Cc2ccccc2OC,IC50,'=',2137.96,nM,5.67,,,UO_0000065,7.55,0.14,-4.31,8.65,FALSE,CHEMBL655895,Inhibitory concentration against butyrylcholinesterase from human serum,B,BAO_0000357,single protein format,,,,,,CHEMBL1914,Butyrylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1136713,1,Scientific Literature,J. Med. Chem.,2003,
CHEMBL79012,,0,666.99,2,7.65,5,COc1ccc(CN(C)CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCN(C)Cc2ccc(OC)cc2)cc1,IC50,'=',5495.41,nM,5.26,,,UO_0000065,7.89,0.15,-2.39,8.02,FALSE,CHEMBL655895,Inhibitory concentration against butyrylcholinesterase from human serum,B,BAO_0000357,single protein format,,,,,,CHEMBL1914,Butyrylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1136713,1,Scientific Literature,J. Med. Chem.,2003,
CHEMBL94217,,0,493.56,0,4.63,1,CC(=O)Nc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1.OC(=O)\C=C\C(=O)O,IC50,'=',9000,nM,5.05,,,UO_0000065,13.37,0.25,0.42,8.64,FALSE,CHEMBL654403,In vitro inhibition of Butyrylcholinesterase from human erythrocytes,B,BAO_0000019,assay format,,,,,,CHEMBL1914,Butyrylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1128477,1,Scientific Literature,J. Med. Chem.,1995,
CHEMBL1771556,,0,696.53,1,4.93,56,[Br-].[Br-].COc1cc2CCN(Cc2cc1OC)c3cc[n+](Cc4ccc(C[n+]5ccc(cc5)N6CCCCC6)cc4)cc3,IC50,'=',620,nM,6.21,,,UO_0000065,11.57,0.21,1.28,18.98,FALSE,CHEMBL1772320,Inhibition of human BChE after 20 mins using butyrylthiocholine iodide as a substrate by Ellman's assay,B,BAO_0000357,single protein format,Homo sapiens,,,,,CHEMBL1914,Butyrylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1770085,1,Scientific Literature,J. Med. Chem.,2011,
CHEMBL308503,,0,317.43,0,2.94,Figure 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL146080,,0,440.67,0,4.86,2,C\C=C(/C)\C(=O)N[C@@H]1C=C2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3CC=C4[C@H](C)N(C)C)[C@@]2(C)C[C@H]1O,Ki,,,,,,Not Determined,,,,,,FALSE,CHEMBL654392,In vitro binding affinity against butyrylcholinesterase from torpedo californica; No data,B,BAO_0000357,single protein format,Equus caballus,,,,,CHEMBL1914,Butyrylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1145898,1,Scientific Literature,J. Med. Chem.,2003,
CHEMBL54727,,0,337.42,0,3.67,(-)14) (-)phenserine,CN1CC[C@]2(C)C1N(C)c3ccc(OC(=O)Nc4ccccc4)cc23,IC50,'=',1300,nM,5.89,,,UO_0000065,17.44,0.32,2.22,13.14,TRUE,CHEMBL876073,Inhibition of human Butyrylcholinesterase,B,BAO_0000357,single protein format,Homo sapiens,,,,,CHEMBL1914,Butyrylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1130392,1,Scientific Literature,J. Med. Chem.,1997,
CHEMBL453096,,0,354.5,0,4.85,14,CN1CCC2(Cc3ccccc3)C1N(Cc4ccccc4)c5ccccc25,IC50,'=',22060,nM,4.66,,,UO_0000065,13.14,0.24,-0.19,71.86,FALSE,CHEMBL1000390,Inhibition of human plasma BChE after 20 mins by Ellman's method,B,BAO_0000366,cell-free format,Homo sapiens,CHEMBL3559721,Plasma,,,CHEMBL1914,Butyrylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1157353,1,Scientific Literature,J. Med. Chem.,2008,
CHEMBL388615,,0,490.05,1,6.44,23,Clc1ccc2c(NCCCCCCCNC(=O)c3n[nH]c4ccccc34)c5CCCCc5nc2c1,IC50,'=',79,nM,7.1,,,UO_0000065,14.49,0.28,0.66,8.59,FALSE,CHEMBL914527,Inhibition of human serum BChE,B,BAO_0000357,single protein format,Homo sapiens,,,,,CHEMBL1914,Butyrylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1139473,1,Scientific Literature,J. Med. Chem.,2005,
CHEMBL427082,,0,517.12,2,7.36,21,Clc1ccc2c(NCCCCCCNC(=O)CCCc3c[nH]c4ccccc34)c5CCCCc5nc2c1,IC50,'=',5.6,nM,8.25,,,UO_0000065,15.96,0.3,0.89,11.82,FALSE,CHEMBL914527,Inhibition of human serum BChE,B,BAO_0000357,single protein format,Homo sapiens,,,,,CHEMBL1914,Butyrylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1139473,1,Scientific Literature,J. Med. Chem.,2005,
CHEMBL224202,,0,501.07,2,7.05,13,Clc1ccc2c(NCCCCCCNC(=O)\C=C\c3c[nH]c4ccccc34)c5CCCCc5nc2c1,IC50,'=',77,nM,7.11,,,UO_0000065,14.2,0.27,0.06,10.19,FALSE,CHEMBL914527,Inhibition of human serum BChE,B,BAO_0000357,single protein format,Homo sapiens,,,,,CHEMBL1914,Butyrylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1139473,1,Scientific Literature,J. Med. Chem.,2005,
CHEMBL397870,,0,526.76,2,5.7,15,CC(C)C1=N[C@H]2CC=C3C[C@@H]4[C@@H](CC[C@H]3[C@]2(C)CO1)[C@]5(C)C[C@@H](OC(=O)C)[C@H]([C@H](C)N(C)C)[C@@]5(C)CC4=O,IC50,,,,,,Not Determined,,,,,,FALSE,CHEMBL900442,Inhibition of human serum BuChE by Ellman's method,B,BAO_0000357,single protein format,Homo sapiens,,,,,CHEMBL1914,Butyrylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1137550,1,Scientific Literature,J. Med. Chem.,2007,
CHEMBL237668,,0,517.8,1,4.24,25b,CC[C@H](C)C(=O)N[C@H]1CC[C@H]2C[C@@H]3[C@@H](CC[C@H]2[C@]1(C)CN)[C@]4(C)C[C@@H](O)[C@H]([C@H](C)N(C)C)[C@@]4(C)CC3=O,IC50,,,,,,Not Determined,,,,,,FALSE,CHEMBL900442,Inhibition of human serum BuChE by Ellman's method,B,BAO_0000357,single protein format,Homo sapiens,,,,,CHEMBL1914,Butyrylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1137550,1,Scientific Literature,J. Med. Chem.,2007,
CHEMBL238063,,0,497.77,0,4.92,26b,CC[C@H](C)C1=N[C@H]2CC[C@]34C[C@@]35[C@@H](CC[C@H]4[C@]2(C)CN1)[C@]6(C)C[C@@H](O)[C@H]([C@H](C)N(C)C)[C@@]6(C)CC5=O,IC50,,,,,,Not Determined,,,,,,FALSE,CHEMBL900442,Inhibition of human serum BuChE by Ellman's method,B,BAO_0000357,single protein format,Homo sapiens,,,,,CHEMBL1914,Butyrylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1137550,1,Scientific Literature,J. Med. Chem.,2007,
CHEMBL396190,,0,568.84,2,6.72,16,CC(C)C1=N[C@H]2CC=C3C[C@@H]4[C@@H](CC[C@H]3[C@]2(C)CO1)[C@]5(C)C[C@@H](OC(=O)C(C)(C)C)[C@H]([C@H](C)N(C)C)[C@@]5(C)CC4=O,IC50,,,,,,Not Determined,,,,,,FALSE,CHEMBL900442,Inhibition of human serum BuChE by Ellman's method,B,BAO_0000357,single protein format,Homo sapiens,,,,,CHEMBL1914,Butyrylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1137550,1,Scientific Literature,J. Med. Chem.,2007,
CHEMBL394753,,0,317.41,1,5.06,12,O=C(Cc1ccccc1)N2c3ccccc3Sc4ccccc24,Ki,'=',610,nM,6.21,,,UO_0000065,19.58,0.37,1.15,30.6,FALSE,CHEMBL898044,Inhibition of human plasma BuChE activity,B,BAO_0000366,cell-free format,Homo sapiens,CHEMBL3559721,Plasma,,,CHEMBL1914,Butyrylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1149693,1,Scientific Literature,Bioorg. Med. Chem.,2007,
CHEMBL239834,,0,348.38,1,5.04,9,[O-][N+](=O)c1ccc(cc1)C(=O)N2c3ccccc3Sc4ccccc24,Ki,'=',820,nM,6.09,,,UO_0000065,17.47,0.33,1.05,9.59,FALSE,CHEMBL898044,Inhibition of human plasma BuChE activity,B,BAO_0000366,cell-free format,Homo sapiens,CHEMBL3559721,Plasma,,,CHEMBL1914,Butyrylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1149693,1,Scientific Literature,Bioorg. Med. Chem.,2007,
CHEMBL239617,,0,382.28,1,5.89,6,Brc1ccc(cc1)C(=O)N2c3ccccc3Sc4ccccc24,Ki,'=',1300,nM,5.89,,,UO_0000065,15.4,0.35,0,28.98,FALSE,CHEMBL898044,Inhibition of human plasma BuChE activity,B,BAO_0000366,cell-free format,Homo sapiens,CHEMBL3559721,Plasma,,,CHEMBL1914,Butyrylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1149693,1,Scientific Literature,Bioorg. Med. Chem.,2007,
CHEMBL235504,,0,210.19,0,1.52,17,O=C1C(=O)c2cccnc2c3ncccc13,Ki,'>',100000,nM,,,,UO_0000065,,,,,FALSE,CHEMBL900100,Inhibition of human butyrylcholinesterase,B,BAO_0000357,single protein format,Homo sapiens,,,,,CHEMBL1914,Butyrylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1138234,1,Scientific Literature,J. Med. Chem.,2007,
CHEMBL433282,,0,253.21,0,2.64,15,[O-][N+](=O)c1ccc2c(c1)C(=O)C(=O)c3ccccc23,Ki,'=',1670,nM,5.78,,,UO_0000065,22.82,0.42,3.14,7.48,FALSE,CHEMBL900100,Inhibition of human butyrylcholinesterase,B,BAO_0000357,single protein format,Homo sapiens,,,,,CHEMBL1914,Butyrylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1138234,1,Scientific Literature,J. Med. Chem.,2007,
CHEMBL235287,,0,222.33,0,3.29,7,O=C(C1CCCCC1)C(=O)C2CCCCC2,Ki,'>',100000,nM,,,,UO_0000065,,,,,TRUE,CHEMBL900100,Inhibition of human butyrylcholinesterase,B,BAO_0000357,single protein format,Homo sapiens,,,,,CHEMBL1914,Butyrylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1138234,1,Scientific Literature,J. Med. Chem.,2007,
CHEMBL236340,,0,300.23,0,2.57,5,[O-][N+](=O)c1ccc(cc1)C(=O)C(=O)c2ccc(cc2)[N+](=O)[O-],Ki,'>',100000,nM,,,,UO_0000065,,,,,FALSE,CHEMBL900100,Inhibition of human butyrylcholinesterase,B,BAO_0000357,single protein format,Homo sapiens,,,,,CHEMBL1914,Butyrylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1138234,1,Scientific Literature,J. Med. Chem.,2007,
CHEMBL481915,,0,395.48,1,7.16,27,O=C(Oc1ccc(cc1)c2ccccc2)N3c4ccccc4Sc5ccccc35,Activity,'=',57,%,,,,UO_0000187,,,,,FALSE,CHEMBL949400,Deactivation of human BchE A328W mutant assessed as residual enzyme activity at 2.1 uM after 10 mins,B,BAO_0000357,single protein format,Homo sapiens,,,,,CHEMBL1914,Butyrylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1155042,1,Scientific Literature,J. Med. Chem.,2008,
CHEMBL481915,,0,395.48,1,7.16,27,O=C(Oc1ccc(cc1)c2ccccc2)N3c4ccccc4Sc5ccccc35,Activity,'=',11,%,,,,UO_0000187,,,,,FALSE,CHEMBL949404,Deactivation of human BchE F329S mutant assessed as residual enzyme activity at 2.1 uM after 15 mins,B,BAO_0000357,single protein format,Homo sapiens,,,,,CHEMBL1914,Butyrylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1155042,1,Scientific Literature,J. Med. Chem.,2008,
CHEMBL481915,,0,395.48,1,7.16,27,O=C(Oc1ccc(cc1)c2ccccc2)N3c4ccccc4Sc5ccccc35,Activity,'=',12,%,,,,UO_0000187,,,,,FALSE,CHEMBL950364,Deactivation of human BchE F329A mutant assessed as residual enzyme activity at 2.1 uM after 15 mins,B,BAO_0000357,single protein format,Homo sapiens,,,,,CHEMBL1914,Butyrylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1155042,1,Scientific Literature,J. Med. Chem.,2008,
CHEMBL335133,,0,462.68,1,5.7,13,C[C@@H]([C@H]1CC[C@H]2[C@@H]3CC[C@H]4C(=O)C(=CC[C@]4(C)[C@H]3CC[C@]12C)NC(=O)c5ccccc5)N(C)C,IC50,'=',2490,nM,5.6,,,UO_0000065,12.11,0.23,-0.1,11.34,FALSE,CHEMBL651728,In vitro anticholinesterase activity against butyrylcholinesterase from torpedo californica,B,BAO_0000357,single protein format,Equus caballus,,,,,CHEMBL1914,Butyrylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1145898,1,Scientific Literature,J. Med. Chem.,2003,
CHEMBL402976,,0,209.25,0,1.19,3a,CN(C)CCOC(=O)Nc1ccncc1,Ki,'=',20400,nM,4.69,,,UO_0000065,22.42,0.43,3.5,8.61,FALSE,CHEMBL927542,Inhibition of butyrylcholinesterase,B,BAO_0000357,single protein format,,,,,,CHEMBL1914,Butyrylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1140781,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2008,
