"Molecule.ChEMBL.ID","Smiles","Standard.Type","Standard.Relation","Standard.Value","Standard.Units","pChEMBL.Value","Target.ChEMBL.ID","Target.Name","Document.ChEMBL.ID","Assay.Description","Document.Journal","Document.Year","Molecular.Weight","AlogP"
"CHEMBL388615","Clc1ccc2c(NCCCCCCCNC(=O)c3n[nH]c4ccccc34)c5CCCCc5nc2c1","IC50","'='",79,"nM",7.1,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1139473","Inhibition of human serum BChE","J. Med. Chem.",2005,490.05,6.44
"CHEMBL427082","Clc1ccc2c(NCCCCCCNC(=O)CCCc3c[nH]c4ccccc34)c5CCCCc5nc2c1","IC50","'='",5.6,"nM",8.25,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1139473","Inhibition of human serum BChE","J. Med. Chem.",2005,517.12,7.36
"CHEMBL224202","Clc1ccc2c(NCCCCCCNC(=O)\C=C\c3c[nH]c4ccccc34)c5CCCCc5nc2c1","IC50","'='",77,"nM",7.11,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1139473","Inhibition of human serum BChE","J. Med. Chem.",2005,501.07,7.05
"CHEMBL394753","O=C(Cc1ccccc1)N2c3ccccc3Sc4ccccc24","Ki","'='",610,"nM",6.21,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1149693","Inhibition of human plasma BuChE activity","Bioorg. Med. Chem.",2007,317.41,5.06
"CHEMBL239834","[O-][N+](=O)c1ccc(cc1)C(=O)N2c3ccccc3Sc4ccccc24","Ki","'='",820,"nM",6.09,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1149693","Inhibition of human plasma BuChE activity","Bioorg. Med. Chem.",2007,348.38,5.04
"CHEMBL239617","Brc1ccc(cc1)C(=O)N2c3ccccc3Sc4ccccc24","Ki","'='",1300,"nM",5.89,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1149693","Inhibition of human plasma BuChE activity","Bioorg. Med. Chem.",2007,382.28,5.89
"CHEMBL433282","[O-][N+](=O)c1ccc2c(c1)C(=O)C(=O)c3ccccc23","Ki","'='",1670,"nM",5.78,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1138234","Inhibition of human butyrylcholinesterase","J. Med. Chem.",2007,253.21,2.64
"CHEMBL335133","C[C@@H]([C@H]1CC[C@H]2[C@@H]3CC[C@H]4C(=O)C(=CC[C@]4(C)[C@H]3CC[C@]12C)NC(=O)c5ccccc5)N(C)C","IC50","'='",2490,"nM",5.6,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1145898","In vitro anticholinesterase activity against butyrylcholinesterase from torpedo californica","J. Med. Chem.",2003,462.68,5.7
"CHEMBL402976","CN(C)CCOC(=O)Nc1ccncc1","Ki","'='",20400,"nM",4.69,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1140781","Inhibition of butyrylcholinesterase","Bioorg. Med. Chem. Lett.",2008,209.25,1.19
"CHEMBL2114303","O[C@H]1C[C@@H](O[C@@H]1CO[P@]2(=O)OCc3cccc(c3O2)c4ccccc4)N5CC(\C=C\Br)C(=O)NC5=O","IC50","'='",3700,"nM",5.43,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1148460","Inhibitory activity towards human butyrylcholinesterase","J. Med. Chem.",2004,579.34,3.94
"CHEMBL325203","Nc1c2CCCNc3ccccc3c2nc4ccccc14","IC50","'='",6700,"nM",5.17,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1130398","In vitro inhibition of Butyrylcholinesterase from human plasma.","J. Med. Chem.",1997,275.36,3.84
"CHEMBL1761993","C(CC[n+]1cccc2ccccc12)CC[n+]3cccc4ccccc34","IC50","'='",34000,"nM",4.47,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1759923","Inhibition of human plasmatic BChE by modified Ellman's method","Bioorg. Med. Chem. Lett.",2011,488.27,4.44
"CHEMBL1761994","C(CCC[n+]1cccc2ccccc12)CCC[n+]3cccc4ccccc34","IC50","'='",400,"nM",6.4,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1759923","Inhibition of human plasmatic BChE by modified Ellman's method","Bioorg. Med. Chem. Lett.",2011,516.32,5.22
"CHEMBL132531","CN1CC[C@]2(C)[C@H]1N(C)c3cc(C)c(OC(=O)Nc4ccccc4)cc23","IC50","'='",5020,"nM",5.3,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1134282","In vitro inhibition of human plasma butyrylcholinesterase.","J. Med. Chem.",2001,351.45,3.98
"CHEMBL223443","Clc1ccc2c(NCCCCCCCNC(=O)Cc3c[nH]c4ccccc34)c5CCCCc5nc2c1","IC50","'='",11.7,"nM",7.93,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1139473","Inhibition of human serum BChE","J. Med. Chem.",2005,503.09,6.97
"CHEMBL223549","Clc1ccc2c(CCCCCCCCCNC(=O)CCc3c[nH]c4ccccc34)c5CCCCc5nc2c1","IC50","'='",9.6,"nM",8.02,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1139473","Inhibition of human serum BChE","J. Med. Chem.",2005,530.16,8.27
"CHEMBL481123","CCOC(=O)N1c2ccccc2Sc3ccccc13","Ki","'='",23400,"nM",4.63,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1155042","Inhibition of human serum BchE by Ellman's assay","J. Med. Chem.",2008,271.34,4.45
"CHEMBL451838","O=C(Oc1cccc2ccccc12)N3c4ccccc4Sc5ccccc35","Ki","'='",36,"nM",7.44,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1155042","Inhibition of human serum BchE by Ellman's assay","J. Med. Chem.",2008,369.45,6.64
"CHEMBL498539","Oc1cccc(c1)C2=Nc3ccccc3SC(C2)c4ccc(Cl)cc4","IC50","'='",79600,"nM",4.1,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1155941","Inhibition of BchE","Bioorg. Med. Chem.",2008,365.89,6.4
"CHEMBL525905","Oc1cccc(c1)C2=Nc3ccccc3SC(C2)c4cccc(Cl)c4","IC50","'='",29400,"nM",4.53,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1155941","Inhibition of BchE","Bioorg. Med. Chem.",2008,365.89,6.4
"CHEMBL224555","CN(CCCCCCCCCCCCOc1ccc2C(=O)c3ccccc3Oc2c1)Cc4ccccc4","IC50","'='",150,"nM",6.82,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1144481","Inhibition of human serum BuChE","Bioorg. Med. Chem.",2007,499.7,8.36
"CHEMBL225615","COc1ccc(OC)c(CN(C)CCCCCCCOc2ccc3C(=O)c4ccccc4Oc3c2)c1","IC50","'='",1270,"nM",5.9,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1144481","Inhibition of human serum BuChE","Bioorg. Med. Chem.",2007,489.61,6.42
"CHEMBL636","CCN(C)C(=O)Oc1cccc(c1)[C@H](C)N(C)C","IC50","'='",30.1,"nM",7.52,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1148814","Inhibition of human recombinant butyrylcholinesterase","J. Med. Chem.",2007,250.34,2.76
"CHEMBL241974","CCN(CCCCCCNC1=CC(=O)C(=CC1=O)NCCCCCCN(CC)Cc2cccnc2)Cc3cccnc3","IC50","'='",11900,"nM",4.92,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1148814","Inhibition of human recombinant butyrylcholinesterase","J. Med. Chem.",2007,574.81,5.04
"CHEMBL244762","CCN(CCCCCCNC1=CC(=O)C(=CC1=O)NCCCCCCN(CC)Cc2ccccn2)Cc3ccccn3","IC50","'='",2470,"nM",5.61,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1148814","Inhibition of human recombinant butyrylcholinesterase","J. Med. Chem.",2007,574.81,5.04
"CHEMBL242190","CCN(Cc1ccccc1OC)C(=O)CCCCCNC2=CC(=O)C(=CC2=O)NCCCCCC(=O)N(CC)Cc3ccccc3OC","IC50","'='",18500,"nM",4.73,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1148814","Inhibition of human recombinant butyrylcholinesterase","J. Med. Chem.",2007,660.86,5.32
"CHEMBL243270","CCN(CCNC1=CC(=O)C(=CC1=O)NCCN(CC)Cc2ccccc2OC)Cc3ccccc3OC","IC50","'='",16800,"nM",4.78,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1148814","Inhibition of human recombinant butyrylcholinesterase","J. Med. Chem.",2007,520.67,3.15
"CHEMBL1761992","C(CC[n+]1cccc2ccccc12)C[n+]3cccc4ccccc34","IC50","'='",32000,"nM",4.5,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1759923","Inhibition of human plasmatic BChE by modified Ellman's method","Bioorg. Med. Chem. Lett.",2011,474.24,4.05
"CHEMBL599254","CCN(CC)CCCOc1ccc2C\C(=C/c3ccc(CN(C)Cc4ccccc4)cc3)\C(=O)c2c1","IC50","'='",11900,"nM",4.92,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1157624","Inhibition of human BuChE preincubated for 20 mins before substrate addition by Ellman's method","Bioorg. Med. Chem.",2010,482.67,6.25
"CHEMBL591233","O=C(NC1CCC1)N2c3ccccc3Sc4ccccc24","Ki","'='",10000,"nM",5,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1157634","Inhibition of human plasma BuChE by modified Ellman's spectrophotometric method","Bioorg. Med. Chem.",2010,296.4,4.55
"CHEMBL450506","CCN(CCCCCC(=O)N[C@H]1CCCC[C@@H]1NC(=O)CCCCCN(CC)Cc2ccccc2OC)Cc3ccccc3OC","IC50","'='",36800,"nM",4.43,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1152287","Inhibition of human serum BChE by Ellman's assay","J. Med. Chem.",2008,636.92,6.71
"CHEMBL173309","CCN(CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCN(CC)Cc1ccccc1OC)Cc2ccccc2OC","IC50","'='",2250,"nM",5.65,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1152287","Inhibition of human serum BChE by Ellman's assay","J. Med. Chem.",2008,695.05,8.43
"CHEMBL499722","CCN(CCCCCC(=O)N[C@@H]1CC[C@H](CC1)NC(=O)CCCCCN(CC)Cc2ccccc2OC)Cc3ccccc3OC","IC50","'='",25300,"nM",4.6,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1152287","Inhibition of human serum BChE by Ellman's assay","J. Med. Chem.",2008,636.92,6.71
"CHEMBL430886","C(CCCCC[n+]1ccccc1)CCCCC[n+]2ccccc2","IC50","'='",7000,"nM",5.16,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1154957","Inhibition of human plasma BChE after 5 mins by Ellman's method","Bioorg. Med. Chem. Lett.",2010,472.31,4.47
"CHEMBL1081810","C(c1ccc2ccc(C[n+]3ccccc3)cc2c1)[n+]4ccccc4","IC50","'='",800,"nM",6.1,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1154957","Inhibition of human plasma BChE after 5 mins by Ellman's method","Bioorg. Med. Chem. Lett.",2010,472.22,3.51
"CHEMBL375304","Cc1cccc(NC(=O)CN2C(=O)C(=O)c3ccccc23)c1","Ki","'='",21000,"nM",4.68,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1144473","Inhibition of human BChE","J. Med. Chem.",2007,294.31,2.16
"CHEMBL221156","CC1=CN([C@@H]2O[C@H](COP3(=O)OCc4cccc(c4O3)c5ccccc5)C=C2)C(=O)NC1=O","IC50","'='",350,"nM",6.46,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1142967","Inhibition of human serum BChE","J. Med. Chem.",2007,468.4,3.7
"CHEMBL484306","COc1cc2CC(CNCCCCCCCNc3c4CCCCc4nc5ccccc35)C(=O)c2cc1OC","IC50","'='",0.6,"nM",9.22,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1150773","Inhibition of human serum BChE by Ellman's assay","J. Med. Chem.",2008,515.7,6.14
"CHEMBL490264","C(Cc1cccc(CCNc2c3CCCCc3nc4ccccc24)c1)Nc5c6CCCCc6nc7ccccc57","Ki","'='",0.924,"nM",9.03,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1150386","Inhibition of human recombinant BuChE","J. Med. Chem.",2008,526.73,7.85
"CHEMBL523500","CNC(=O)O[C@H]1CO[C@@H]2[C@@H](CO[C@H]12)OC(=O)c3ccccc3","IC50","'='",669,"nM",6.17,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1140164","Inhibition of human plasma BuchE by Ellman's method","J. Med. Chem.",2008,307.3,0.73
"CHEMBL521852","[O-][N+](=O)O[C@@H]1CO[C@@H]2[C@H](CO[C@H]12)OC(=O)NC3CCCCC3","IC50","'='",2500,"nM",5.6,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1140164","Inhibition of human plasma BuchE by Ellman's method","J. Med. Chem.",2008,316.31,0.79
"CHEMBL521666","CCCCC(=O)O[C@@H]1CO[C@@H]2[C@H](CO[C@H]12)OC(=O)NCc3ccccc3","IC50","'='",700,"nM",6.16,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1140164","Inhibition of human plasma BuchE by Ellman's method","J. Med. Chem.",2008,363.41,2.18
"CHEMBL228361","Fc1ccc(NC(=O)OCCCCN2CCC(CC2)OCc3ccccc3)cc1","IC50","'='",780,"nM",6.11,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1143763","Inhibition of human BChE by Ellman's method","Bioorg. Med. Chem.",2007,400.49,4.84
"CHEMBL389047","Clc1ccc(NC(=O)OCCCCN2CCC(CC2)OC(c3ccccc3)c4ccccc4)cc1","IC50","'='",13650,"nM",4.87,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1143763","Inhibition of human BChE by Ellman's method","Bioorg. Med. Chem.",2007,493.05,6.94
"CHEMBL229052","Clc1cccc(c1)C(=O)OCCCCN2CCC(CC2)OC(c3ccccc3)c4ccccc4","IC50","'='",57870,"nM",4.24,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1143763","Inhibition of human BChE by Ellman's method","Bioorg. Med. Chem.",2007,478.03,6.55
"CHEMBL3216210","COc1cc2CC(CC3CCN(CCNc4c5CCCCc5nc6cc(Cl)ccc46)CC3)Cc2cc1OC","IC50","'='",88.7,"nM",7.05,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1150773","Inhibition of human serum BChE by Ellman's assay","J. Med. Chem.",2008,643.53,6.71
"CHEMBL511948","CN(CCCCCCCOc1ccc(cc1)c2oc3ccccc3c2C(=O)C)Cc4ccccc4","IC50","'='",1830,"nM",5.74,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1150277","Inhibition of human serum BuchE after 20 mins by Ellman's method","J. Med. Chem.",2008,469.63,7.76
"CHEMBL572096","Nc1ccccc1C(=O)O[C@@H]2CO[C@@H]3[C@H](CO[C@H]23)OC(=O)NCc4ccccc4","IC50","'='",27,"nM",7.57,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1156822","Inhibition of BuChE in human liver microsomes","J. Med. Chem.",2010,398.42,1.89
"CHEMBL575830","CO[C@H]1O[C@@H]([C@@H](O)C=C)[C@@H](OCc2ccccc2)[C@@]3(OCc4ccccc4)[C@H](CO[C@@H]13)OCc5ccccc5","IC50","'='",31000,"nM",4.51,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1154078","Inhibition of BChE in human serum assessed as hydrolysis of butyrylthiocholine by Ellman's method","Bioorg. Med. Chem.",2009,532.63,4.43
"CHEMBL585159","[O-][N+](=O)c1ccccc1C(=O)O[C@@H]2CO[C@@H]3[C@H](CO[C@H]23)OC(=O)NCc4ccccc4","IC50","'='",18,"nM",7.75,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1156822","Inhibition of BuChE in human liver microsomes","J. Med. Chem.",2010,428.4,2.21
"CHEMBL572269","O=Nc1ccccc1C(=O)O[C@@H]2CO[C@@H]3[C@H](CO[C@H]23)OC(=O)NCc4ccccc4","IC50","'='",39,"nM",7.41,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1156822","Inhibition of BuChE in human liver microsomes","J. Med. Chem.",2010,412.4,2.7
"CHEMBL577112","CN(C)C(=O)O[C@H]1CO[C@@H]2[C@@H](CO[C@H]12)OC(=O)c3ccccc3O","IC50","'='",6.4,"nM",8.19,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1156822","Inhibition of BuChE in human liver microsomes","J. Med. Chem.",2010,337.33,0.78
"CHEMBL486698","Nc1c2CCCCc2nc3cc(Cl)ccc13","IC50","'='",916,"nM",6.04,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1152433","Inhibition of human serum BChE by Ellman's method","J. Med. Chem.",2009,269.17,3.35
"CHEMBL134251","CNC(=O)Oc1cc2c(cc1C)N(C)[C@H]3N(C)CC[C@@]23C","IC50","'='",8530,"nM",5.07,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1134282","In vitro inhibition of human plasma butyrylcholinesterase.","J. Med. Chem.",2001,289.38,2.08
"CHEMBL502","COc1cc2CC(CC3CCN(Cc4ccccc4)CC3)C(=O)c2cc1OC","IC50","'='",4150,"nM",5.38,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1146079","Anticholinesterase activity against human plasma BChE","J. Med. Chem.",2006,379.5,4.36
"CHEMBL205895","CN1[C@H]2OCC[C@@]2(C)c3cc(OC(=O)Nc4ccccc4C)ccc13","IC50","'='",1560,"nM",5.81,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1146079","Anticholinesterase activity against human plasma BChE","J. Med. Chem.",2006,338.41,4.06
"CHEMBL106348","CN(C)CCNc1cc(NCCSCc2oc(CN(C)C)cc2)c(cc1[N+](=O)[O-])[N+](=O)[O-]","IC50","'='",1400,"nM",5.85,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1125532","In vitro inhibition of human butryl cholinesterase.","J. Med. Chem.",1992,466.56,3.48
"CHEMBL534932","CC1=CC2CC(C1)c3c(C2)nc4cc(Cl)ccc4c3NCCCCCCCCNc5c6CCCCc6nc7ccccc57","IC50","'='",4.74,"nM",8.32,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1142714","Inhibitory concentration against Butyrylcholinesterase from human erythrocytes","J. Med. Chem.",2005,666.18,10.18
"CHEMBL361165","COc1ccccc1CN(C)CCCN(C)CCCNCCC[n+]2c(c3ccccc3)c4cc(N)ccc4c5ccc(N)cc25","IC50","'='",2190,"nM",5.66,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1145289","Inhibition of Butyrylcholinesterase","J. Med. Chem.",2005,605.85,5.94
"CHEMBL109869","CC1=CC2CC(C1)c3c(N)c4c(F)cccc4nc3C2","IC50","'='",543,"nM",6.26,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1133449","Inhibition of butyrylcholinesterase (BChE) in human serum","J. Med. Chem.",2000,268.33,3.95
"CHEMBL74827","C(CCCCNc1c2CCCc2nc3ccccc13)CCCNc4c5CCCc5nc6ccccc46","IC50","'='",165,"nM",6.78,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1135422","Concentration that causes 50% inhibition of Butyrylcholinesterase (BChE) using human serum and BW284c51","J. Med. Chem.",2002,478.68,7.63
"CHEMBL312761","Fc1ccc2c(NCCCCCCCCNc3c4CCCCc4nc5cc(F)ccc35)c6CCCCc6nc2c1","IC50","'='",164,"nM",6.79,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1135422","Concentration that causes 50% inhibition of Butyrylcholinesterase (BChE) using human serum and BW284c51","J. Med. Chem.",2002,542.72,8.68
"CHEMBL535812","CCC1=CC2CC(C1)c3c(C2)nc4ccccc4c3NCCCCCCCCNc5c6CCCCc6nc7ccccc57","IC50","'='",5.55,"nM",8.26,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1142714","Inhibitory concentration against Butyrylcholinesterase from human erythrocytes","J. Med. Chem.",2005,645.76,9.91
"CHEMBL13166","CN(C)Cc1oc(CSCCCCCSCc2oc(CN(C)C)cc2)cc1","IC50","'='",3600,"nM",5.44,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1125408","The compound was evaluated for the inhibition human of Butyrylcholinesterase I","J. Med. Chem.",1992,410.65,5.33
"CHEMBL268499","CN(C)Cc1oc(CSCCCCCCSCc2oc(CN(C)C)cc2)cc1","IC50","'='",2900,"nM",5.54,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1125408","The compound was evaluated for the inhibition human of Butyrylcholinesterase I","J. Med. Chem.",1992,424.68,5.72
"CHEMBL192627","ClC1=C(Cl)C(=O)C(=C(Cl)C1=O)Cl","Ki","'='",268,"nM",6.57,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1143603","Inhibition constant against human Butyrylcholinesterase (hBuChE) using butyrylthiocholine (BuTCh) as substrate","J. Med. Chem.",2005,245.88,2.52
"CHEMBL107254","CN(C)Cc1oc(CSCCNc2cc(Nc3ccc(F)cc3)c(cc2[N+](=O)[O-])[N+](=O)[O-])cc1","IC50","'='",1100,"nM",5.96,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1125532","In vitro inhibition of human butryl cholinesterase.","J. Med. Chem.",1992,489.53,5.39
"CHEMBL610779","COc1ccc2C\C(=C/c3ccc(CN(C)Cc4ccccc4)cc3)\C(=O)c2c1","IC50","'='",7930,"nM",5.1,"CHEMBL1914","Butyrylcholinesterase","CHEMBL1157624","Inhibition of human BuChE preincubated for 20 mins before substrate addition by Ellman's method","Bioorg. Med. Chem.",2010,383.49,5.15
