"Molecule.ChEMBL.ID","Smiles","Standard.Type","Standard.Relation","Standard.Value","Standard.Units","pChEMBL.Value","Target.ChEMBL.ID","Target.Name","Document.ChEMBL.ID","Assay.Description","Document.Journal","Document.Year","Molecular.Weight","AlogP"
"CHEMBL62664","CN1CC[C@]2(C)[C@H]1N(C)c3ccc(OC(=O)NCCCCCCCCCCCN4CCOCC4)cc23","IC50","'='",40,"nM",7.4,"CHEMBL220","Acetylcholinesterase","CHEMBL1128816","Inhibition of Acetylcholinesterase (AChE) from human RBC","Bioorg. Med. Chem. Lett.",1995,500.73,4.99
"CHEMBL106126","CC(C)C1=C(C)N(OC1=O)C(=O)N2CCC[C@H](C)C2","IC50","'='",17000,"nM",4.77,"CHEMBL220","Acetylcholinesterase","CHEMBL1148382","Inhibitory concentration against acetylcholinesterase","J. Med. Chem.",2004,266.34,2.57
"CHEMBL336276","CCCCCCSc1nc(nn1C(=O)N(C)C)c2ccc(C)cc2","IC50","'='",200,"nM",6.7,"CHEMBL220","Acetylcholinesterase","CHEMBL1148382","Inhibitory concentration against acetylcholinesterase","J. Med. Chem.",2004,346.5,4.46
"CHEMBL176585","CCN(CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCN(CC)Cc1ccccc1)Cc2ccccc2","IC50","'='",48.98,"nM",7.31,"CHEMBL220","Acetylcholinesterase","CHEMBL1136713","Inhibitory concentration against acetylcholinesterase from human erythrocytes","J. Med. Chem.",2003,634.99,8.41
"CHEMBL337714","CSc1nc(nn1C(=O)N(C)C)c2ccc(cc2)C(F)(F)F","IC50","'='",500,"nM",6.3,"CHEMBL220","Acetylcholinesterase","CHEMBL1148382","Inhibitory concentration against acetylcholinesterase","J. Med. Chem.",2004,330.34,3.22
"CHEMBL242661","CCN(CCCCCCNC1=CC(=O)C(=CC1=O)NCCCCCCN(CC)Cc2ccc(OC)cc2)Cc3ccc(OC)cc3","IC50","'='",51.1,"nM",7.29,"CHEMBL220","Acetylcholinesterase","CHEMBL1148814","Inhibition of human recombinant acetylcholinesterase","J. Med. Chem.",2007,632.89,6.27
"CHEMBL242190","CCN(Cc1ccccc1OC)C(=O)CCCCCNC2=CC(=O)C(=CC2=O)NCCCCCC(=O)N(CC)Cc3ccccc3OC","IC50","'='",11600,"nM",4.94,"CHEMBL220","Acetylcholinesterase","CHEMBL1148814","Inhibition of human recombinant acetylcholinesterase","J. Med. Chem.",2007,660.86,5.32
"CHEMBL230434","CCN(CCCCCCNc1ccc(NCCCCCCN(CC)Cc2ccccc2OC)cc1)Cc3ccccc3OC","IC50","'='",42.5,"nM",7.37,"CHEMBL220","Acetylcholinesterase","CHEMBL1148814","Inhibition of human recombinant acetylcholinesterase","J. Med. Chem.",2007,602.91,8.69
"CHEMBL243062","CCN(CCCCCCNC1=C(Br)C(=O)C(=C(Br)C1=O)NCCCCCCN(CC)Cc2ccccc2OC)Cc3ccccc3OC","IC50","'='",2.66,"nM",8.57,"CHEMBL220","Acetylcholinesterase","CHEMBL1148814","Inhibition of human recombinant acetylcholinesterase","J. Med. Chem.",2007,790.68,7.71
"CHEMBL243055","CCN(CCCCCCNC1=C(F)C(=O)C(=C(F)C1=O)NCCCCCCN(CC)Cc2ccccc2OC)Cc3ccccc3OC","IC50","'='",5.17,"nM",8.29,"CHEMBL220","Acetylcholinesterase","CHEMBL1148814","Inhibition of human recombinant acetylcholinesterase","J. Med. Chem.",2007,668.87,6.86
"CHEMBL396247","COc1cc2OC(=O)C(=Cc2cc1OC)c3ccc(CN(CCO)Cc4ccccc4)cc3","IC50","'='",49.3,"nM",7.31,"CHEMBL220","Acetylcholinesterase","CHEMBL1148720","Inhibition of human recombinant AChE","J. Med. Chem.",2007,445.52,4.47
"CHEMBL244415","COc1ccc(CN(C)Cc2ccc(cc2)C3=Cc4cc(OC)c(OC)cc4OC3=O)cc1","IC50","'='",2260,"nM",5.65,"CHEMBL220","Acetylcholinesterase","CHEMBL1148720","Inhibition of human recombinant AChE","J. Med. Chem.",2007,445.52,5.12
"CHEMBL413794","COc1ccc2OC(=O)C(=Cc2c1)c3cccc(CN(C)Cc4ccccc4)c3","IC50","'='",303,"nM",6.52,"CHEMBL220","Acetylcholinesterase","CHEMBL1148720","Inhibition of human recombinant AChE","J. Med. Chem.",2007,385.46,5.1
"CHEMBL314398","COC(CC(=O)c1cc2cc(OC)c(OC)cc2s1)C3CC[N+](C)(Cc4ccccc4)CC3","IC50","'='",120,"nM",6.92,"CHEMBL220","Acetylcholinesterase","CHEMBL1135325","Concentration required for the inhibition of acetylcholinesterase","Bioorg. Med. Chem. Lett.",2002,548.54,5.56
"CHEMBL390083","COc1ccccc1CN(C)CCCOc2ccc3C(=O)c4ccccc4Oc3c2","IC50","'='",3400,"nM",5.47,"CHEMBL220","Acetylcholinesterase","CHEMBL1144481","Inhibition of human erythrocyte AchE","Bioorg. Med. Chem.",2007,403.48,4.86
"CHEMBL225611","CN(CCCCOc1ccc2C(=O)c3ccccc3Oc2c1)Cc4ccccc4","IC50","'='",6250,"nM",5.2,"CHEMBL220","Acetylcholinesterase","CHEMBL1144481","Inhibition of human erythrocyte AchE","Bioorg. Med. Chem.",2007,387.48,5.24
"CHEMBL219406","CCOC(=O)C1=C(C)Nc2nc3CCCCc3c(N)c2C1c4ccc(C)cc4","IC50","'='",169,"nM",6.77,"CHEMBL220","Acetylcholinesterase","CHEMBL1138213","Inhibition of human erythrocyte AChE","J. Med. Chem.",2006,377.49,4.25
"CHEMBL219405","CCOC(=O)C1=C(C)Nc2nc3CCCCc3c(N)c2C1c4ccc(cc4)[N+](=O)[O-]","IC50","'='",309,"nM",6.51,"CHEMBL220","Acetylcholinesterase","CHEMBL1138213","Inhibition of human erythrocyte AChE","J. Med. Chem.",2006,408.46,3.85
"CHEMBL1202874","C(CC1CCN(Cc2ccccc2)CC1)Sc3ccc(nn3)c4ccccc4","IC50","'='",470,"nM",6.33,"CHEMBL220","Acetylcholinesterase","CHEMBL1134774","In vitro inhibition of acetylcholinesterase from human erythrocytes","J. Med. Chem.",2001,462.49,5.54
"CHEMBL609977","CC[N+](C)(CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCC[N+](C)(CC)Cc1ccccc1[N+](=O)[O-])Cc2ccccc2[N+](=O)[O-]","IC50","'='",12.3,"nM",7.91,"CHEMBL220","Acetylcholinesterase","CHEMBL1136713","Inhibitory concentration against acetylcholinesterase from human erythrocytes","J. Med. Chem.",2003,1008.87,8.51
"CHEMBL173309","CCN(CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCN(CC)Cc1ccccc1OC)Cc2ccccc2OC","Ki","'='",12.2,"nM",7.91,"CHEMBL220","Acetylcholinesterase","CHEMBL1136713","Inhibitory activity of compound against acetylcholinesterase from human erythrocytes","J. Med. Chem.",2003,695.05,8.43
"CHEMBL132260","Nc1c2CCCOc2nc3ccccc13","IC50","'='",266,"nM",6.58,"CHEMBL220","Acetylcholinesterase","CHEMBL1126001","In vitro inhibition of acetylcholinesterase isolated from human erythrocytes.","Bioorg. Med. Chem. Lett.",1991,200.24,2.14
"CHEMBL539045","CNC(=O)Oc1cccc(CN(C)CCCOc2ccccc2)c1","IC50","'='",79.6,"nM",7.1,"CHEMBL220","Acetylcholinesterase","CHEMBL1134674","In vitro inhibition of human erythrocyte Acetylcholinesterase.","J. Med. Chem.",2001,364.87,3.31
"CHEMBL340171","CN(CCCOc1ccc2C(=O)c3ccccc3Oc2c1)Cc4cccc(OC(=O)NCCCCCCCN5CCOCC5)c4","IC50","'='",26.2,"nM",7.58,"CHEMBL220","Acetylcholinesterase","CHEMBL1134674","In vitro inhibition of human erythrocyte Acetylcholinesterase.","J. Med. Chem.",2001,615.77,6.22
"CHEMBL1834065","CC(C)(C)OC(=O)N1CCN(CC1)c2nccc(NCc3cccc4ccccc34)n2","IC50","'='",50800,"nM",4.29,"CHEMBL220","Acetylcholinesterase","CHEMBL1833829","Inhibition of human AChE by Ellman's assay","Bioorg. Med. Chem. Lett.",2011,419.53,4.3
"CHEMBL1834066","C(Nc1ccnc(n1)N2CCNCC2)c3cccc4ccccc34","IC50","'='",17500,"nM",4.76,"CHEMBL220","Acetylcholinesterase","CHEMBL1833829","Inhibition of human AChE by Ellman's assay","Bioorg. Med. Chem. Lett.",2011,319.41,2.65
"CHEMBL1834067","OCCN1CCN(CC1)c2nccc(NCc3cccc4ccccc34)n2","IC50","'='",9800,"nM",5.01,"CHEMBL220","Acetylcholinesterase","CHEMBL1833829","Inhibition of human AChE by Ellman's assay","Bioorg. Med. Chem. Lett.",2011,363.47,2.36
"CHEMBL99655","CN1CC[C@@]2(C)C1N(Cc3ccccc3)c4ccc(OC(=O)Nc5ccccc5)cc24","IC50","'='",11223,"nM",4.95,"CHEMBL220","Acetylcholinesterase","CHEMBL1130392","Inhibition of human acetylcholinesterase from erythrocytes (RBC)","J. Med. Chem.",1997,413.52,5.24
"CHEMBL131286","Fc1ccc(cc1)C(=O)n2cc(\C=C\3/CN(Cc4ccccc4)CCC3=O)c5ccccc25","IC50","'='",60000,"nM",4.22,"CHEMBL220","Acetylcholinesterase","CHEMBL1134784","Inhibitory concentration required against acetylcholinesterase activity","J. Med. Chem.",2001,438.5,5.33
"CHEMBL317162","CNC(=O)Oc1ccc2N(Cc3ccccc3)C4N(C)CC[C@]4(C)c2c1","IC50","'='",2847.5,"nM",5.55,"CHEMBL220","Acetylcholinesterase","CHEMBL1130392","Inhibition of human acetylcholinesterase from erythrocytes (RBC)","J. Med. Chem.",1997,351.45,3.34
"CHEMBL398406","CCCCC1=NC2(CCCC2)C(=O)N1Cc3cc(OC)c(OC)cc3Br","IC50","'='",82.5,"nM",7.08,"CHEMBL220","Acetylcholinesterase","CHEMBL1137534","Inhibition of human serum AChE by Ellman colorimetric assay","Bioorg. Med. Chem.",2007,423.35,4.71
"CHEMBL526476","Oc1cccc(c1)C2=Nc3ccccc3SC(C2)c4ccccc4F","IC50","'='",70600,"nM",4.15,"CHEMBL220","Acetylcholinesterase","CHEMBL1155941","Inhibition of AchE","Bioorg. Med. Chem.",2008,349.43,5.89
"CHEMBL456156","Oc1cccc(c1)C2=Nc3ccccc3SC(C2)c4ccccc4","IC50","'='",40000,"nM",4.4,"CHEMBL220","Acetylcholinesterase","CHEMBL1155941","Inhibition of AchE","Bioorg. Med. Chem.",2008,331.44,5.75
"CHEMBL254302","C[N+](C)(C)CCOC(=O)Nc1cc(Cl)nc(Cl)c1","Ki","'='",64400,"nM",4.19,"CHEMBL220","Acetylcholinesterase","CHEMBL1140781","Inhibition of acetylcholinesterase","Bioorg. Med. Chem. Lett.",2008,420.08,2.64
"CHEMBL61929","COc1cc2nc3CCCCc3c(N)c2cc1OC","IC50","'='",5128.61,"nM",5.29,"CHEMBL220","Acetylcholinesterase","CHEMBL1133184","Experimental pIC50 values for the inhibition of acetylcholinesterase","J. Med. Chem.",2000,258.32,2.71
"CHEMBL94","CNC(=O)Oc1ccc2N(C)[C@H]3N(C)CC[C@@]3(C)c2c1","IC50","'='",17.78,"nM",7.75,"CHEMBL220","Acetylcholinesterase","CHEMBL1134461","Inhibitory activity against acetylcholinesterase in human erythrocytes","J. Med. Chem.",2001,275.35,1.77
"CHEMBL359198","CCCCCCNC(=O)Oc1ccc2C[C@@H]3N(CC)CC[C@]3(C)c2c1","IC50","'='",233,"nM",6.63,"CHEMBL220","Acetylcholinesterase","CHEMBL1151555","Concentration required to inhibit acetylcholinesterase isolated from human erythrocytes","Bioorg. Med. Chem. Lett.",1991,344.5,4.26
"CHEMBL468002","CC1(C)CC(=O)C2=C(C1)Nc3nc4CCCCc4c(N)c3C2c5ccncc5","IC50","'='",2800,"nM",5.55,"CHEMBL220","Acetylcholinesterase","CHEMBL1155914","Inhibition of human erythrocyte AChE by Ellman's method","Bioorg. Med. Chem.",2008,374.49,4.14
"CHEMBL95","Nc1c2CCCCc2nc3ccccc13","IC50","'='",150,"nM",6.82,"CHEMBL220","Acetylcholinesterase","CHEMBL1155914","Inhibition of human erythrocyte AChE by Ellman's method","Bioorg. Med. Chem.",2008,198.27,2.7
"CHEMBL396190","CC(C)C1=N[C@H]2CC=C3C[C@@H]4[C@@H](CC[C@H]3[C@]2(C)CO1)[C@]5(C)C[C@@H](OC(=O)C(C)(C)C)[C@H]([C@H](C)N(C)C)[C@@]5(C)CC4=O","IC50","'='",839,"nM",6.08,"CHEMBL220","Acetylcholinesterase","CHEMBL1137550","Inhibition of human recombinant AChE by Ellman's method","J. Med. Chem.",2007,568.84,6.72
"CHEMBL391918","C[C@@H]([C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC[C@@H]4C(=CC[C@@H]5N=C(C)OC[C@@]45C)C[C@H]3C(=O)C[C@]12C)N(C)C","IC50","'='",5242,"nM",5.28,"CHEMBL220","Acetylcholinesterase","CHEMBL1137550","Inhibition of human recombinant AChE by Ellman's method","J. Med. Chem.",2007,456.67,4.49
"CHEMBL393621","CC(C)C1=N[C@H]2CC=C3CC4[C@@H](CC[C@H]3[C@]2(C)CO1)[C@]5(C)C[C@@H](O)[C@H]([C@H](C)N(C)C)[C@@]5(C)CC4=O","IC50","'='",299,"nM",6.52,"CHEMBL220","Acetylcholinesterase","CHEMBL1137550","Inhibition of human recombinant AChE by Ellman's method","J. Med. Chem.",2007,484.73,5.12
"CHEMBL63173","CN1CC[C@]2(C)[C@H]1N(C)c3ccc(OC(=O)NCCCCN4CCOCC4)cc23","IC50","'='",21000,"nM",4.68,"CHEMBL220","Acetylcholinesterase","CHEMBL1128816","Inhibition of Acetylcholinesterase (AChE) from human RBC","Bioorg. Med. Chem. Lett.",1995,402.54,2.26
"CHEMBL92958","C(Cc1n[nH]c2ccccc12)C3CCN(Cc4ccccc4)CC3","IC50","'='",119.95,"nM",6.92,"CHEMBL220","Acetylcholinesterase","CHEMBL1129655","Inhibition against Acetylcholinesterase (AChE)","J. Med. Chem.",1996,319.45,4.41
"CHEMBL496255","C[C@@H]([C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@H](CC[C@]4(C)[C@H]3CC[C@]12C)N(C)C)N(C)C","IC50","'='",22100,"nM",4.66,"CHEMBL220","Acetylcholinesterase","CHEMBL1156637","Inhibition of acetylcholinesterase","J. Nat. Prod.",2008,374.66,5.53
"CHEMBL659","COc1ccc2CN(C)CC[C@@]34C=C[C@H](O)C[C@@H]3Oc1c24","IC50","'='",2010,"nM",5.7,"CHEMBL220","Acetylcholinesterase","CHEMBL1148814","Inhibition of human recombinant acetylcholinesterase","J. Med. Chem.",2007,287.36,1.85
"CHEMBL276444","CCN(CCCCCCNC1=CC(=O)C(=CC1=O)NCCCCCCN(CC)Cc2occc2)Cc3occc3","IC50","'='",144,"nM",6.84,"CHEMBL220","Acetylcholinesterase","CHEMBL1148814","Inhibition of human recombinant acetylcholinesterase","J. Med. Chem.",2007,552.76,5.44
"CHEMBL415799","CC1=CC2Cc3nc4cc(Cl)ccc4c(N)c3C(C1)C2N","IC50","'='",225,"nM",6.65,"CHEMBL220","Acetylcholinesterase","CHEMBL1137340","Inhibition of human erythrocyte AChE","J. Med. Chem.",2006,299.81,3.4
"CHEMBL243272","CCN(CCCCNC1=CC(=O)C(=CC1=O)NCCCCN(CC)Cc2ccccc2OC)Cc3ccccc3OC","IC50","'='",13.6,"nM",7.87,"CHEMBL220","Acetylcholinesterase","CHEMBL1148814","Inhibition of human recombinant acetylcholinesterase","J. Med. Chem.",2007,576.78,4.71
"CHEMBL243269","CCN(CCCCCCNC1=C(C)C(=O)C(=C(C)C1=O)NCCCCCCN(CC)Cc2ccccc2OC)Cc3ccccc3OC","IC50","'='",9.5,"nM",8.02,"CHEMBL220","Acetylcholinesterase","CHEMBL1148814","Inhibition of human recombinant acetylcholinesterase","J. Med. Chem.",2007,660.94,7.05
"CHEMBL1783534","CC(C)C1=N[C@H]2CC[C@]34C[C@@]35[C@@H](CC[C@H]4[C@]2(C)C=C1)[C@]6(C)C[C@@H](O)[C@H]([C@H](C)N(C)C)[C@@]6(C)CC5=O","IC50","'='",25,"nM",7.6,"CHEMBL220","Acetylcholinesterase","CHEMBL1781893","Inhibition of recombinant human AChE using acetylthiocholine iodide as substrate by spectroscopic Ellmans method","Eur. J. Med. Chem.",2011,480.74,5.54
"CHEMBL1784955","C[C@@H](Cc1ccccc1)N(C)C(=O)Oc2cccc(c2)[C@H](C)N(C)C","IC50","'='",131,"nM",6.88,"CHEMBL220","Acetylcholinesterase","CHEMBL1781878","Inhibition of human recombinant AChE preincubated for 30 mins before DTNB substrate addition by spectrophotometric assay based Ellman's method","Bioorg. Med. Chem. Lett.",2009,376.93,4.37
"CHEMBL1783531","C[C@@H]([C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC[C@H]4[C@]5(C)COC(=N[C@H]5CC[C@@]46C[C@@]36C(=O)C[C@]12C)C(F)(C(F)(F)F)C(F)(F)F)N(C)C","IC50","'='",3003,"nM",5.52,"CHEMBL220","Acetylcholinesterase","CHEMBL1781893","Inhibition of recombinant human AChE using acetylthiocholine iodide as substrate by spectroscopic Ellmans method","Eur. J. Med. Chem.",2011,610.66,6.14
"CHEMBL1783514","COc1cccc(CN(C)[C@@H](C)[C@H]2[C@H](O)C[C@@]3(C)[C@@H]4CC[C@H]5[C@]6(C)CSC(=N[C@H]6CC[C@@]57C[C@@]47C(=O)C[C@]23C)C(C)C)c1","IC50","'='",3,"nM",8.52,"CHEMBL220","Acetylcholinesterase","CHEMBL1781893","Inhibition of recombinant human AChE using acetylthiocholine iodide as substrate by spectroscopic Ellmans method","Eur. J. Med. Chem.",2011,606.92,7.25
"CHEMBL1834877","COc1cc(CCCOC(=O)Nc2ccccc2)cc3cc(oc13)c4ccc5OCOc5c4","IC50","'='",4500,"nM",5.35,"CHEMBL220","Acetylcholinesterase","CHEMBL1833820","Inhibition of human recombinant AChE using acetylthiocholine iodide as substrate by spectrophotometric method","J. Nat. Prod.",2011,445.47,6.02
"CHEMBL74107","CCCCCCCCNC(=O)Oc1ccc2N(C)[C@H]3N(C)CC[C@@]3(C)c2c1","IC50","'='",15,"nM",7.82,"CHEMBL220","Acetylcholinesterase","CHEMBL1124889","Inhibitory activity against Acetylcholinesterase in cortex","J. Med. Chem.",1990,373.54,4.5
"CHEMBL300143","CN1CC[C@]2(C)C1N(C)c3ccc(OC(=O)Nc4ccccc4C)cc23","IC50","'='",10.3,"nM",7.99,"CHEMBL220","Acetylcholinesterase","CHEMBL1177652","Inhibition of human whole RBC AChE pretreated for 30 mins by Ellman technique","Bioorg. Med. Chem.",2010,351.45,3.98
"CHEMBL488590","CCN(CCCCCCN1C(=O)c2cccc3cccc(C1=O)c23)Cc4ccccc4OC","IC50","'='",53.5,"nM",7.27,"CHEMBL220","Acetylcholinesterase","CHEMBL1152287","Inhibition of human recombinant AChE by Ellman's assay","J. Med. Chem.",2008,444.58,5.53
"CHEMBL499825","CCN(CCCCCC(=O)N[C@H]1CCCC[C@H]1NC(=O)CCCCCN(CC)Cc2ccccc2OC)Cc3ccccc3OC","IC50","'='",4160,"nM",5.38,"CHEMBL220","Acetylcholinesterase","CHEMBL1152287","Inhibition of human recombinant AChE by Ellman's assay","J. Med. Chem.",2008,636.92,6.71
"CHEMBL1257412","CCCCCCCCCCCCCCNc1c2CCCCc2nc3ccc(OC)cc13","IC50","'='",46000,"nM",4.34,"CHEMBL220","Acetylcholinesterase","CHEMBL1255181","Inhibition of human recombinant AChE after 5 mins","Bioorg. Med. Chem. Lett.",2010,461.13,8.24
"CHEMBL225688","C(CCCC[n+]1ccccc1)CCC[n+]2ccccc2","IC50","'='",31000,"nM",4.51,"CHEMBL220","Acetylcholinesterase","CHEMBL1154957","Inhibition of human erythrocyte AChE after 5 mins by Ellman's method","Bioorg. Med. Chem. Lett.",2010,430.23,3.3
"CHEMBL225689","C(CCCCC[n+]1ccccc1)CCCC[n+]2ccccc2","IC50","'='",400,"nM",6.4,"CHEMBL220","Acetylcholinesterase","CHEMBL1154957","Inhibition of human erythrocyte AChE after 5 mins by Ellman's method","Bioorg. Med. Chem. Lett.",2010,458.28,4.08
"CHEMBL1081810","C(c1ccc2ccc(C[n+]3ccccc3)cc2c1)[n+]4ccccc4","Ki","'='",140,"nM",6.85,"CHEMBL220","Acetylcholinesterase","CHEMBL1154957","Inhibition of human erythrocyte AChE after 5 mins by noncompetitive Lineweaver-Burke plot analysis for enzyme-inhibitor complex","Bioorg. Med. Chem. Lett.",2010,472.22,3.51
"CHEMBL496126","CN[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCC(=O)Nc3c4CCCCc4nc5ccccc35","Ki","'='",3330,"nM",5.48,"CHEMBL220","Acetylcholinesterase","CHEMBL1141710","Inhibition of human recombinant AChE","Bioorg. Med. Chem. Lett.",2008,455.56,3.48
"CHEMBL3216655","COc1cc2CC(CC3CCN(CCCNc4c5CCCCc5nc6cc(Cl)ccc46)CC3)C(=O)c2cc1OC","IC50","'='",0.27,"nM",9.57,"CHEMBL220","Acetylcholinesterase","CHEMBL1150773","Inhibition of human erythrocyte AChE by Ellman's assay","J. Med. Chem.",2008,671.54,6.74
"CHEMBL1257885","CCCCCCNc1c2CCCCc2nc3ccc(OC)cc13","IC50","'='",100,"nM",7,"CHEMBL220","Acetylcholinesterase","CHEMBL1255181","Inhibition of human recombinant AChE after 5 mins","Bioorg. Med. Chem. Lett.",2010,348.92,5.11
"CHEMBL1257644","CCCCCCCCCNc1c2CCCCc2nc3ccc(OC)cc13","IC50","'='",1600,"nM",5.8,"CHEMBL220","Acetylcholinesterase","CHEMBL1255181","Inhibition of human recombinant AChE after 5 mins","Bioorg. Med. Chem. Lett.",2010,391,6.28
"CHEMBL74747","CN1CCCCc2ccc(cc12)C(=O)CCC3CCN(Cc4ccccc4)CC3","IC50","'='",81,"nM",7.09,"CHEMBL220","Acetylcholinesterase","CHEMBL1155460","Inhibition of AChE","Eur. J. Med. Chem.",2010,390.57,5.33
"CHEMBL73447","COc1cccc(CN2CCC(CCC(=O)c3ccc4NCCc4c3)CC2)c1","IC50","'='",2680,"nM",5.57,"CHEMBL220","Acetylcholinesterase","CHEMBL1155460","Inhibition of AChE","Eur. J. Med. Chem.",2010,378.52,4.54
"CHEMBL310918","[O-][N+](=O)c1cccc(CN2CCC(CCC(=O)c3ccc4NCCc4c3)CC2)c1","IC50","'='",64,"nM",7.19,"CHEMBL220","Acetylcholinesterase","CHEMBL1155460","Inhibition of AChE","Eur. J. Med. Chem.",2010,393.49,4.44
"CHEMBL312761","Fc1ccc2c(NCCCCCCCCNc3c4CCCCc4nc5cc(F)ccc35)c6CCCCc6nc2c1","IC50","'='",0.7,"nM",9.15,"CHEMBL220","Acetylcholinesterase","CHEMBL1155460","Inhibition of AChE","Eur. J. Med. Chem.",2010,542.72,8.68
"CHEMBL1084777","Clc1ccc2c(Nc3ccccc3)c4CCCCc4nc2c1","IC50","'='",170,"nM",6.77,"CHEMBL220","Acetylcholinesterase","CHEMBL1155460","Inhibition of AChE","Eur. J. Med. Chem.",2010,308.81,5.51
"CHEMBL1084545","Clc1ccc2c(NCCCCCCCNC(=O)CCOCCc3c[nH]c4ccccc34)c5CCCCc5nc2c1","IC50","'='",3,"nM",8.52,"CHEMBL220","Acetylcholinesterase","CHEMBL1155460","Inhibition of AChE","Eur. J. Med. Chem.",2010,561.17,7.38
"CHEMBL372710","CNC(=O)Oc1cccc(CN(C)CCCCCCCOc2ccc3C(=O)\C(=C\c4ccc(Cl)c(Cl)c4)\Oc3c2)c1","IC50","'='",8,"nM",8.1,"CHEMBL220","Acetylcholinesterase","CHEMBL1155460","Inhibition of AChE","Eur. J. Med. Chem.",2010,597.54,7.79
"CHEMBL1085940","CNC(=O)Oc1cccc(CN(C)CCCCCCCOc2ccc3C(=O)\C(=C/c4cc(O)c(O)c(O)c4)\CCc3c2)c1","IC50","'='",4.94,"nM",8.31,"CHEMBL220","Acetylcholinesterase","CHEMBL1155460","Inhibition of AChE","Eur. J. Med. Chem.",2010,588.7,6.2
